month_year,region,country,visitor_count
2001-02,Europe,Denmark,2796
2001-02,Europe,Finland,1777
2001-02,Europe,France,6564
2001-02,Europe,Germany,15611
2001-02,Europe,Italy,3338
2001-02,Europe,Netherlands,6395
2001-02,Europe,Norway,2360
2001-02,Europe,Rep Of Ireland,na
2001-02,Europe,Russian Federation,na
2001-02,Europe,Spain,1113
2001-02,Europe,Sweden,4010
2001-02,Europe,Switzerland,4248
2001-02,Europe,United Kingdom,44240
2001-02,Europe,Other Markets In Europe,na
2001-02,Oceania,Australia,36260
2001-02,Oceania,New Zealand,5227
2001-02,Oceania,Other Markets In Oceania,1060
2001-02,Africa,Egypt,na
2001-02,Africa,Mauritius,na
2001-02,Africa,South Africa (Rep Of),na
2001-02,Africa,Other Markets In Africa,na
2001-03,Southeast Asia,Brunei Darussalam,4668
2001-03,Southeast Asia,Indonesia,110821
2001-03,Southeast Asia,Malaysia,47514
2001-03,Southeast Asia,Myanmar,1808
2001-03,Southeast Asia,Philippines,17002
